screen_id,capture_status,composition,hierarchy,typography,spacing,asset_integration,controls,chrome,polish,average,pass,notes
01,CAPTURED,7,6,6,6,8,6,7,6,6.5,NO,Transparent fox in-app; no matte. Not pixel-matched to board.
02,CAPTURED,7,6,6,5,8,6,7,6,6.4,NO,Fox-only welcome. Dead space remains vs board.
03,CAPTURED,7,7,6,6,7,7,7,6,6.6,NO,Routing topology not orbits. English copy vs RU board.
04,CAPTURED,7,7,6,6,7,7,7,6,6.6,NO,Ready/completion not orbits. Large empty field remains.
05,CAPTURED,7,7,6,6,8,6,7,6,6.6,NO,Fox-only disconnected; truthful Не защищено. Not pixel PASS.
06,CAPTURED,6,6,6,6,7,6,6,5,6.0,NO,Debug connecting chrome. Progress ring is stages not AUTO solar system.
07,CAPTURED,6,6,6,6,8,6,6,5,6.1,NO,DEBUG visual CONNECTED only; VPN permission still absent. Not production truth.
08,CAPTURED,7,7,6,6,7,7,7,6,6.6,NO,Native sheet over live home. Density still off vs board.
09,CAPTURED,7,6,6,6,8,7,7,6,6.6,NO,Fox under import field; no matte. Layout not board-locked.
10,CAPTURED,7,7,6,6,7,7,7,6,6.6,NO,Debug fixture servers. Density closer; not pixel PASS.
11,CAPTURED,7,7,6,6,7,6,7,6,6.5,NO,Debug Amsterdam/18ms/12% in src/debug activity only.
12,CAPTURED,7,6,6,6,6,6,7,6,6.3,NO,Debug subscription chrome; repeating painter required vs production refresh.
13,CAPTURED,7,6,6,6,6,6,7,6,6.3,NO,Settings list not raw Material dump; still not board typography.
14,CAPTURED,6,6,6,6,6,6,6,5,5.9,NO,Captured; not scored as pixel PASS.
15,CAPTURED,7,6,6,6,6,7,6,6,6.3,NO,Debug apps; checkboxes from in-memory adapter not store.
16,CAPTURED,6,6,6,5,6,6,6,5,5.8,NO,Sparse Autopilot. Not pixel PASS.
17,CAPTURED,7,7,6,6,7,7,7,6,6.6,NO,Topology around shield not celestial orbits.
18,CAPTURED,6,6,6,6,7,6,7,6,6.3,NO,Always-on status Unknown from Android; not simulated.
