screen_id,capture_status,composition,hierarchy,typography,spacing,asset_integration,controls,chrome,polish,average,pass,notes
01,CAPTURED,4.0,3.6,3.4,3.6,4.1,3.4,3.6,3.6,3.66,NO,ru-RU; atmospheric planet + one rim; wordmark inside hero frame; still not pixel-locked.
02,CAPTURED,3.9,3.6,3.5,3.5,4.1,3.6,3.5,3.5,3.65,NO,ru-RU; fox+planet; Купить доступ visible; not pixel-locked.
03,CAPTURED,3.6,3.5,3.4,3.1,3.7,3.5,3.4,3.3,3.44,NO,Owner directional anchor. Concept frozen; no planet.
04,CAPTURED,3.6,3.5,3.4,3.1,3.7,3.5,3.4,3.3,3.44,NO,Owner directional anchor. Concept frozen; no planet.
05,CAPTURED,3.9,3.6,3.5,3.4,4.0,3.5,3.5,3.4,3.60,NO,ru-RU Не защищено; planet behind fox; VPN-permission line remains truthful.
06,CAPTURED,3.9,3.7,3.5,3.5,4.0,3.7,3.5,3.5,3.66,NO,Static planet; rail/stages; no orbit; neutral Остановить.
07,CAPTURED,3.9,3.7,3.6,3.4,4.0,3.7,3.5,3.5,3.66,NO,DEBUG Защищено without Нет разрешения VPN; planet behind fox; not production CONNECTED.
08,CAPTURED,3.7,3.6,3.4,3.4,3.8,3.6,3.5,3.4,3.55,NO,Native sheet over live 05; fox+planet under 0.22 dim; ru-RU.
09,CAPTURED,3.6,3.5,3.4,3.3,3.9,3.6,3.5,3.4,3.53,NO,ru-RU HTTPS; supporting compact planet; form remains primary; empty field remains.
10,CAPTURED,3.7,3.6,3.5,3.4,3.5,3.5,3.5,3.4,3.51,NO,Debug overlay populated servers; filters from resources; pings muted; no planet.
11,CAPTURED,3.5,3.4,3.5,3.3,3.3,3.5,3.4,3.2,3.39,NO,ru-RU Умная маршрутизация; debug 18ms/12%; still lighter than board.
12,CAPTURED,3.5,3.4,3.4,3.2,3.3,3.6,3.4,3.2,3.38,NO,ru-RU debug subscription; compact CTA; lower field still open vs board.
13,CAPTURED,3.5,3.4,3.4,3.3,3.3,3.4,3.5,3.3,3.39,NO,Content-over-containers; Always-on VPN kept as product term; no planet.
14,CAPTURED,3.8,3.7,3.7,3.6,3.4,3.7,3.5,3.5,3.61,NO,Title Умная маршрутизация; Custom rules localized; section eyebrows; Smart/DNS/IPv6/LAN exceptions.
15,CAPTURED,3.7,3.7,3.5,3.4,3.7,3.6,3.5,3.5,3.58,NO,5 debug apps with packages; compact Save; list-to-summary gap; MAD still high.
16,CAPTURED,3.7,3.6,3.6,3.5,3.4,3.6,3.4,3.5,3.54,NO,Captive copy localized; trusted count 0 truthful; not fake 2 networks.
17,CAPTURED,3.7,3.6,3.5,3.4,3.8,3.6,3.4,3.5,3.56,NO,No fox; no planet; inbound/outbound topology; compact Оставить AUTO.
18,CAPTURED,3.4,3.4,3.3,3.2,3.4,3.5,3.4,3.3,3.36,NO,No planet; Android Unknown not faked; Always-on VPN name kept.
